creator_clean,gender,birth_year,match_status
"Schillmark, Gustav",unknown,,not_found
"Reinhold, Bernhard",male,1824,matched
K. E. Ståhlberg,unknown,,not_found
"Gebhard, Albert",male,1869,matched
Selim Björses,unknown,,not_found
Göran Schildt,male,1917,matched
Skisser av möbler och seldon,unknown,,not_found
Bernhard Åström,male,1884,matched
taiteilija: A.E.Järvinen,unknown,,not_found
"Hellman, Åke",male,1940,matched
"Pohjanheimo, Artti",male,1949,matched
"Selin, Birger",male,1918,matched
Pietinen,unknown,,not_found
Totu Tamm ?,unknown,,not_found
"Hakli, Kari",male,1940,matched
"Hedenström, Kaius",male,1943,matched
"Hofman, L.",unknown,,not_found
"Rocci, Michael",unknown,,not_found
"Baade, Knud",male,1808,matched
"Gørbitz, Johan",male,1782,matched
"Sata, Herbrand Embrikson",unknown,,not_found
"Lehmann, Carl Peter",male,1794,matched
#6168BA1C-E4EF-4363-803E-5901E525104A,unknown,,not_found
"Balling, H",unknown,,not_found
"Olsen, Chr",unknown,,not_found
"Hansteen, Aasta",female,1824,matched
"Meidell, P",unknown,,not_found
"Lund, Hedevig C Erichsen",unknown,,not_found
#F0C8CE09-78C9-444E-9D6E-FE1CB09C779F,unknown,,not_found
#134E728E-3984-45F5-AC3B-3B96251996D8,unknown,,not_found
"Holter, W",unknown,,not_found
"Sømme, Jacob",unknown,,not_found
"Eiebakke, August",male,1867,matched
"Brun, Harald",male,1873,matched
"Fisković, Cvito",male,1908,matched
"Ružička, Kamilo",male,,matched
"Smith, Gordon M.",unknown,,not_found
"Gamulin, Grgo",male,1910,matched
neutvrđen autor,unknown,,not_found
Višnja Jelačić,unknown,,not_found
"Denegri, Ješa",unknown,,not_found
Majster graduálu z Murána,unknown,,not_found
"Foschi, Pier Francesco",male,1502,matched
"Michieli, Andrea",unknown,,not_found
Taliansky maliar zo 17. storočia,unknown,,not_found
Autor kópie neznámy,unknown,,not_found
Taliansky maliar okolo polovice 17. storočia,unknown,,not_found
Benátsky maliar z polovice 18. storočia,unknown,,not_found
"Ranc, Jean",male,1674,matched
"Ermini, Ludwig",unknown,,not_found
"Klemens, Jozef Božetech",male,1817,matched
"Tibély, Karol",male,1813,matched
Stredoeurópsky maliar pastelov,male,,matched
