creator_clean,gender,birth_year,match_status
"Bonnet, Sylvain",male,1963,matched
Rembrandt,male,1606,matched
"Audran, Gérard",male,1640,matched
"Oppenort, Gilles-Marie",unknown,,not_found
"Picart, Étienne",male,1632,matched
"Corrège, Le . Model Painter",unknown,,not_found
"Cotte, Robert de",male,1656,matched
"Boudan, Louis",male,1601,matched
"Leclerc, Sébastien",male,1637,matched
"Chapman, John",male,,matched
"Vanloo, Carle",unknown,,not_found
"Saunders, Joseph",male,1773,matched
"Dennel, Antoine-François",unknown,,not_found
"Dabos, Charles. Model Painter",unknown,,not_found
"Green, Valentine",male,1739,matched
"Porta, Ferdinando . 0442",unknown,,not_found
Boutteville,unknown,,not_found
"Joullain, François",male,1697,matched
"Debucourt, Philibert-Louis",male,1755,matched
"Perronneau, Jean-Baptiste",male,1715,matched
"Audran, Jean",male,1667,matched
Exhibition. Portraits. 1910. Undetermined function,unknown,,not_found
"Saint-Aubin, Augustin de",unknown,,not_found
"Dupuis, Charles",male,1918,matched
"Desplaces, Louis",male,1682,matched
"Van Loo, Louis Mich . Model Painter",unknown,,not_found
"Raymond, Jean",male,1919,matched
"Horthemels, Frédéric",male,1688,matched
"Nicolet, Bernard Antoine",unknown,,not_found
Veronese . Model Painter,unknown,,not_found
"Roman, Jules . Model Painter",unknown,,not_found
"Audran, Benoît",male,1661,matched
"Simonneau, Philippe",male,1685,matched
"The Sweat, Nicolas",unknown,,not_found
"Surugue, Louis",male,1686,matched
"Verhelst, Egid",male,1733,matched
"Couché, Jacques",male,1750,matched
"Tardieu, Nicolas Henri",unknown,,not_found
"Le Bas, Jacques-Philippe",unknown,,not_found
"Le Clerc ou Leclerc, Pierre Thomas",unknown,,not_found
"The Prince, John the Baptist",unknown,,not_found
Anonyme,male,1986,matched
Qian long . Auteur du texte,unknown,,not_found
Long Qian . Author of the text,unknown,,not_found
"Le Sueur, Nicolas",male,1545,matched
"Saint-Aubin, Gabriel de",male,1724,matched
"Hennequin, Philippe-Auguste . Model designer",unknown,,not_found
Long Qian . Content Sponsor,unknown,,not_found
"Ingouf, François Robert",unknown,,not_found
Qian long . Commanditaire du contenu,unknown,,not_found
"Bruegel, Jan . Model Painter",unknown,,not_found
"Gérard, François-Pascal-Simon. Fonction indéterminée",unknown,,not_found
"Riesener, Henri-François . 0442",unknown,,not_found
Bordes,unknown,,not_found
"Lacauchie, Alexander",unknown,,not_found
"Philippe, Jules",unknown,,not_found
"Lacauchie, Alexandre",male,1814,matched
"Jackson, John",male,1769,matched
"Roqueplan, Camille Joseph Etienne . Lithographe",unknown,,not_found
"Ingres, Jean-Auguste-Dominique . 0442",unknown,,not_found
"Cicéri, Pierre-Luc-Charles",unknown,,not_found
Lhéritier,male,1807,matched
Pitrot,unknown,,not_found
"Jorand, Jean-Baptiste-Joseph",unknown,,not_found
Roze . Lithographe,unknown,,not_found
"Valentin, Henry . Model designer",unknown,,not_found
"Labrouste, Henri",male,1801,matched
"Monnier, Henry",male,,matched
"Valentin, Henry",male,1820,matched
Maleuvre . Workshop,unknown,,not_found
"Daumier, Honoré",male,1808,matched
"Moonlight, Henry . Model designer",unknown,,not_found
"Holbain, B. d'après Besselievre",unknown,,not_found
"Canon, L.",unknown,,not_found
Scheffer Ary,unknown,,not_found
"Gosse, Nicolas",male,1787,matched
"Le Cerf, Louis",unknown,,not_found
"Meynier, Charles",male,1763,matched
"Lacoma y Fontanet, Francesco",unknown,,not_found
"Legare, Joseph",unknown,,not_found
Alphonse Giroux,male,1776,matched
Grandeber / Au Petit Dunkerque,unknown,,not_found
A. Rodien,unknown,,not_found
"Thouar, Arthur . Auteur de la conférence. Chef de la mission",unknown,,not_found
"Zorn, Anders",male,1860,matched
"Desboutin, Marcellin",male,1823,matched
"Germain, Louis",male,1897,matched
"Trichon, Auguste",male,1814,matched
"Schoenhaupt, Louis",male,1822,matched
"Valentin, A.",male,1980,matched
"Geoffroy, Charles",male,1793,matched
"Chatinière, Antonin-Marie . Lithographe",unknown,,not_found
"Darjou, Henri-Alfred",male,1832,matched
Nadar . Suspected photographer,unknown,,not_found
"Höffert, W. . Photographe",unknown,,not_found
"Stein, G.",unknown,,not_found
"Gaildrau, Jules",male,1816,matched
"Clerget, Hubert",male,1818,matched
"Lix, Frédéric",unknown,,not_found
"Schultz, P. ). Fonction indéterminée",unknown,,not_found
"Guérard, Henri",male,1846,matched
"Cadart, Alfred . Directeur de publication",unknown,,not_found
"Chifflart, François-Nicolas",unknown,,not_found
"Ribot, Theodule . Model Painter",unknown,,not_found
Cadart et Luce . Directeur de publication,unknown,,not_found
"Buhot, Felix",unknown,,not_found
"Lacauchie, Alexandre. Lithographe",unknown,,not_found
"Méaulle, Fortuné Louis",unknown,,not_found
"Burnand, Eugène",male,1850,matched
"Garnier, Jules Arsène",male,1847,matched
"Lavastre, Jean-Baptiste",male,1839,matched
"Bruegel, Pieter . Model Painter",unknown,,not_found
"Vallou de Villeneuve, Julien . Photographe",unknown,,not_found
"Petit, Pierre",male,1617,matched
"Worms, Jules",male,1832,matched
"Neri, Ferdinand",unknown,,not_found
"Meyer, Henri",male,1841,matched
"Rouargue, Adolphe . Model designer",unknown,,not_found
"Maurou, Paul . Model designer",unknown,,not_found
"Lehr, Ernest",male,1835,matched
"Rouargue, Adolphe",male,1810,matched
"Baer, Gil . Model designer",unknown,,not_found
"Destez, Paul",male,1854,matched
"Coindre, Victor . Lithographe",unknown,,not_found
"Marie, Adrien",male,1848,matched
"Bonnard, A.",unknown,,not_found
"Dumont, L.",male,,matched
"Boyer, Rachel",female,1864,matched
"Rochegrosse, Georges Antoine",unknown,,not_found
"Doré, Gustave",male,1872,matched
"Doré, Gustave . Model designer",unknown,,not_found
Janet-Lange,unknown,,not_found
"Férat, P.",unknown,,not_found
"Large, E . Presumed designer",unknown,,not_found
Leoni,male,1961,matched
"Noury, Gaston",male,1865,matched
"Rochebrune, Octave de",male,1824,matched
"Victor Henry, M. Suspected designer. Suspected burner",unknown,,not_found
"Valentin, Henry Augustin",male,1822,matched
"Neuville, Alfonso de",unknown,,not_found
"Ravergie, Hippolyte",male,1815,matched
"Desroches-Valnay, Jacques",male,1848,matched
"Brand, Hans . Photographe de l'oeuvre reproduite",unknown,,not_found
"Paillard, Henri",male,1846,matched
"Bellenger, Albert",male,1846,matched
"Roevens, E.",unknown,,not_found
"Baer, Gil",male,1863,matched
"Cartier, Karl",male,1855,matched
"Henner, Jean-Jacques",male,1829,matched
"Maurand, Charles",male,1824,matched
Desroches-Valnay. Model designer,unknown,,not_found
"Amato, Gennaro d'",unknown,,not_found
"Quesnel, Désiré",male,1843,matched
"Gigoux, Jean",male,1806,matched
"Lhermitte, Leon",unknown,,not_found
"Meyer, Henri . Model designer",unknown,,not_found
Laforgue,unknown,,not_found
Lafforgue,unknown,,not_found
Norbert Goeneutte,male,1854,matched
"Cambon, Charles-Antoine",male,1802,matched
"Tilly, Auguste",male,1840,matched
"Bonnegrace, Charles",unknown,,not_found
"Hirsch, Alexandre",unknown,,not_found
Yvon Adolphe,unknown,,not_found
"Riou, Édouard",male,1833,matched
"Melingue, Gaston",unknown,,not_found
"Finck, Adolphe",unknown,,not_found
"Bataille, Henry",male,1872,matched
"Fichel, Benjamin Eugène",unknown,,not_found
"Mathey, Paul",male,1844,matched
"Destez, Paul . Model designer",unknown,,not_found
"Haenen, Frédéric de . Model designer",unknown,,not_found
Vidal Vincent,unknown,,not_found
"Marie, Adrien . Model designer",unknown,,not_found
"Dupain, Edmond-Louis",male,1847,matched
"Baude, Charles",male,1853,matched
"Deroy, Auguste-Victor . Model designer",unknown,,not_found
Michelet,male,1801,matched
Ronot-Tutin ou Tutin,unknown,,not_found
Maison Rebours,unknown,,not_found
"Clairin, Georges Jules Victor",unknown,,not_found
Ernest Kees,male,1789,matched
"Espagna, E.",unknown,,not_found
Guironnet,unknown,,not_found
"Rodigue, M.",unknown,,not_found
"Alexandre, Félix Pierre Victor",unknown,,not_found
Faucon,unknown,,not_found
Inconnu,unknown,,not_found
M. G.,unknown,,not_found
Duvelleroy,unknown,,not_found
"Lasellaz, Gustave François",male,1848,matched
"Balacian, E.",unknown,,not_found
"Soldé, A.",unknown,,not_found
"Laurens, Jean-Paul",male,1838,matched
"Bayer, Albert",male,1895,matched
"Rouge, Charles",unknown,,not_found
Société industrielle de Mulhouse. Fonction indéterminée,unknown,,not_found
Ledoux. Undetermined function,unknown,,not_found
Cornelius. Undetermined function,unknown,,not_found
"Maeckler, Eugène. Fonction indéterminée",unknown,,not_found
"Ehrmann, François Emile",male,1833,matched
"Steinlen, Théophile Alexandre",male,1859,matched
Agence de presse Meurisse. Agence photographique,unknown,,not_found
"Greuze, Jean Baptiste",unknown,,not_found
"Bellery-Desfontaines, Henri",male,1867,matched
Agence Rol. Agence photographique,unknown,,not_found
Rol agency. Photographic agency,unknown,,not_found
"Mathis, Hans. Undetermined function",unknown,,not_found
"Ogé, Eugène",male,1861,matched
Agence de presse Mondial Photo-Presse. Agence photographique,unknown,,not_found
"Helbling, Thaddäus . 0442",unknown,,not_found
Melling. Undetermined function,unknown,,not_found
"Farré, Henry . Author or intellectual leader",unknown,,not_found
"Laboureur, Jean-Émile",unknown,,not_found
"Walker, Emery",male,1851,matched
"Feron, E.f",unknown,,not_found
Revue alsacienne illustrée,unknown,,not_found
"Pierret, Charles. Undetermined function",unknown,,not_found
"Savage, Georges Drawer of the model",unknown,,not_found
"Sauvage, Georges",male,1845,matched
"Delahogue, Alexis-Auguste",unknown,,not_found
Roemhild,unknown,,not_found
"Zier, Édouard . Lithographe",unknown,,not_found
Planet News . Agence photographique,unknown,,not_found
Robert Sennecke Internationaler Illustrations Verlag. Agence photographique,unknown,,not_found
"Mathey-Doret, Emile Armand . Model burner",unknown,,not_found
"Spindler, Walter * illustrator -- Peintre",unknown,,not_found
"Abbéma, Louise. 1853-1927 * illustrator -- peintre",unknown,,not_found
Société du Musée Alsacien . Fonction indéterminée,unknown,,not_found
"Domergue, Jean-Gabriel",male,1889,matched
"Heimlich, Jean-Daniel. Undetermined function",unknown,,not_found
Carven,unknown,,not_found
Madeleine & Madeleine,unknown,,not_found
"Bryn, Yukie",unknown,,not_found
"Rouffiange, Roger",male,,matched
Lavaud,unknown,,not_found
"Vallery, D.",unknown,,not_found
"Cande, Daniel . Photographe",unknown,,not_found
"Isola, Marcel",unknown,,not_found
Mariot Chanet,unknown,,not_found
"Delaunay, Sonia",female,1885,matched
KalligrafZeichner: Willi Münch,unknown,,not_found
Maler: Jan Cornelisz Vermeyen,unknown,,not_found
Hans Krell,male,1490,matched
Johannes Faber,male,1952,matched
Painter : Jerome Lotter d.J.,unknown,,not_found
Painter: Hans Krell,unknown,,not_found
Lucas Cranach d. J.,unknown,,not_found
"Büchele, Fritz",unknown,,not_found
"Stoedtner, ?",unknown,,not_found
"Ludwig, Herbert",male,1935,matched
Kunsthandlung in Leipzig: J. B. Klein,unknown,,not_found
"Aufsberg, Lala",female,1907,matched
Photographer: Paul Faulstich,unknown,,not_found
Painter: Nic. Iron mountain,unknown,,not_found
Unbekannter Fotograf,unknown,,not_found
"Richter, Regine",female,1866,matched
"Möbius, Walter",unknown,,not_found
"Stoedtner, Franz",male,1870,matched
Maler Originalgemälde: Lemberger,unknown,,not_found
"Reinecke, Hans",unknown,,not_found
"Heiss, Much",unknown,,not_found
"Hüttel, Christa",unknown,,not_found
"unbekannt, Fotograf",unknown,,not_found
Glass Painter: Josef Stokinger,unknown,,not_found
Hans (vor 1522-1565 Krell,unknown,,not_found
"Mühler, Johannes",male,1876,matched
Lucas Cranach d.J.,unknown,,not_found
"Walther, Bernd",male,1973,matched
Maler: Johann de Perre,unknown,,not_found
Painter: Johann Heinrich Am M,unknown,,not_found
Maler: Lorenz Hartung,unknown,,not_found
David Hoyer,male,1667,matched
Maler: Christoph Spetner,unknown,,not_found
Maler: David Hoyer,unknown,,not_found
Maler: Samuel Bottschild,unknown,,not_found
Johann Gerhardt,unknown,,not_found
Maler: Johann Heinrich Am Ende,unknown,,not_found
Willem Jacobsz Delff,male,1580,matched
Fotograf: Eugen Ravenstein,unknown,,not_found
Fotograf: Paul Faulstich,unknown,,not_found
Wolfgang Kilian,male,1581,matched
"Ahlers, Henrik",male,1967,matched
"Koch, Hans-Joachim",male,1944,matched
Photographer: Krömer,unknown,,not_found
Nicolas Mignard,male,1606,matched
Jonas Suyderhoff,male,1613,matched
"Bregulla, Siegfried",unknown,,not_found
Fotograf: Hermann Walter,unknown,,not_found
I.U.H.,unknown,,not_found
Christian Schäffer,male,1830,matched
Fotograf: W. Kühn,unknown,,not_found
"Kramer, Rudolph",unknown,,not_found
"Volkskundliche Kommission für Westfalen, , Münster, Fotograf",unknown,,not_found
"Adam, Fritz <1914>",unknown,,not_found
"Rabich, Waltraud",unknown,,not_found
Samuel Bottschildt,unknown,,not_found
"Schmitz, Gerda, Münster, photographer",unknown,,not_found
Gilles Hendricx,unknown,,not_found
Maler: Samuel Bottschildt,unknown,,not_found
Andreas Herneisen,male,1538,matched
Maler: Ernst Gottlob,unknown,,not_found
Maler: Franz Gareis,unknown,,not_found
Künstler: Bernhard Plockhorst,unknown,,not_found
Robert Sayer,male,1725,matched
Kalligraf: Hermann Volbeding,unknown,,not_found
Kalligraf: J. L. Mangoldt,unknown,,not_found
Calligrapher: Müller,unknown,,not_found
Calligrapher: Johann Ludwig Mangoldt,unknown,,not_found
R. Müller,female,1934,matched
Kalligraph: Johann Ludwig Mangoldt,unknown,,not_found
KalligrafZeichner: J. L. Mangoldt,unknown,,not_found
Kalligraf: W. Schulze,unknown,,not_found
ZeichnerKalligraf: J. R. C. Müller,unknown,,not_found
ZeichnerKalligraf: J. M. Neumann,unknown,,not_found
Calligrapher: Jn. Ludov. Mangoldt,unknown,,not_found
ZeichnerKalligraf: J. L. Mangoldt,unknown,,not_found
Maler: Focke,unknown,,not_found
Maler: Benjamin Calau,unknown,,not_found
Maler: unbekannt,unknown,,not_found
Maler: Anton Graff,unknown,,not_found
Maler: G. A. Hoffmann,unknown,,not_found
Painter: Anton Graff,unknown,,not_found
Kalligraf: Rudolph Müller,unknown,,not_found
Painter: Anton Headstone,unknown,,not_found
Maler: Georg Andreas Hoffmann,unknown,,not_found
Maler: Adam Friedrich Oeser,unknown,,not_found
Maler: Johann Christian Vollerdt,unknown,,not_found
Maler: Georg Christian Gerike,unknown,,not_found
Maler: George Christian Gericke,unknown,,not_found
Maler: Elias Gottlob Haussmann,unknown,,not_found
Maler: Michael Friedrich Scharbe,unknown,,not_found
Anton Headstone,unknown,,not_found
Painter: Jacob Samuel Beck,unknown,,not_found
Painter: Benjamin Calau,unknown,,not_found
Elias Gottlob Haussmann,male,1695,matched
Adam Friedrich Oeser,male,1717,matched
Painter: J. Rauch,unknown,,not_found
Painter: Anton Paulsen,unknown,,not_found
Heinrich Theodor Leichner,unknown,,not_found
Painter: Louis de Silvestre,unknown,,not_found
Print: Oskar Leiner,unknown,,not_found
Johannes Pieter de Frey,male,1770,matched
Jakob Friedrich Clerck,male,1769,matched
Painter: Adam Friedrich Oeser,unknown,,not_found
Johann Gottfried Haid,male,1714,matched
Johann Martin Preissler,male,1715,matched
Ignaz Sebastian Klauber,male,1753,matched
Valentine Green,male,1739,matched
Draftsman: Adam Friedrich Oeser,unknown,,not_found
Adam Wirsing,unknown,,not_found
"Adamiak, Josef",male,1932,matched
Stecher: F.G.H. Seiffert,unknown,,not_found
Pierre Drevet,male,1663,matched
Georg Daniel Heumann,male,1691,matched
"Wolff, Paul <1876>",unknown,,not_found
Zeichner: Adam Friedrich Oeser,unknown,,not_found
Stecher: Schultheiß,unknown,,not_found
Painter: May,unknown,,not_found
"Sauermann, UK, photographer",unknown,,not_found
Painter: Gottlob Elias Haussmann,unknown,,not_found
"Beierlein, Paul Reinhard",male,1885,matched
Johann Friedrich Bause,male,1738,matched
Maler: Joh. Heinrich Tischbein,unknown,,not_found
"Sauermann, Dietmar, Münster, Fotograf",unknown,,not_found
"Petrík, Ivo",unknown,,not_found
"Fotograf, Kassel: G. Ewald",unknown,,not_found
"Thonig, Manfred",unknown,,not_found
Louis Surugue,male,1686,matched
Copper engraver: Daniel Berger,unknown,,not_found
"Fillinger, Sirid",unknown,,not_found
"Wurmbach, Annemarie, Münster, photographer",unknown,,not_found
"Steuerlein, Asmus",male,1944,matched
"Schumacher, Klaus-Dieter",unknown,,not_found
"Schreiner, Ludwig",male,1928,matched
Drucker: Breitkopfischen Buchdruckerey,unknown,,not_found
"Starke, Werner",male,1540,matched
Painter: Johann Alexander Thiele,unknown,,not_found
"Raslag, Alois",male,1888,matched
Painter: Caravaggio,unknown,,not_found
Draftsman: Andreas Stöttrup,unknown,,not_found
Painter: Elias Gottlob Haussmann,unknown,,not_found
Maler: Carl Friedrich Holtzmann,unknown,,not_found
Radierer: Johann Friedrich Bause,unknown,,not_found
Eraser: Johann Friedrich Break,unknown,,not_found
Maler: E. F. Saffer,unknown,,not_found
"Hoftapete painter in Gotha, detectable until 1801: Christian Friedrich Heinrich Schildbach",unknown,,not_found
"Kaubisch, Oskar",male,1882,matched
"Osthaus, Karl Ernst",male,1874,matched
William Ward,male,,matched
"Molleron la Cave, François",unknown,,not_found
Maler: Friedrich Matthäi,unknown,,not_found
Maler: Carl Ludwig Tischbein,unknown,,not_found
Künstler: R. Krausse,unknown,,not_found
Kalligraf: D. Jukermann,unknown,,not_found
Künstler: Fr. Pecht,unknown,,not_found
ZeichnerKalligraf: W. Schulz,unknown,,not_found
CalligrafDraftsman: A. Brandt,unknown,,not_found
Calligrapher: W. S.,unknown,,not_found
ZeichnerKalligraf: W. Schulze,unknown,,not_found
Künstler: C. Grünewald,unknown,,not_found
Maler: Daniel Caffe,unknown,,not_found
ZeichnerKalligraf: Rudolph Müller,unknown,,not_found
Painter: Focke,unknown,,not_found
Zeichner : F. A. Fricke,unknown,,not_found
Painter: Adolph Senff,unknown,,not_found
Maler: Friedrich Pecht,unknown,,not_found
Maler: Schublonsky,unknown,,not_found
Painter: Gustav Wolff,unknown,,not_found
Maler: Wilhelm Gottfried Bauer,unknown,,not_found
Maler: Gerhard von Kügelgen,unknown,,not_found
Maler: Gustav Hennig,unknown,,not_found
Maler: Ludwig Geyer,unknown,,not_found
Painter: Ludwig Doell,unknown,,not_found
Painter: G.E.,unknown,,not_found
Painter: Carl Focke,unknown,,not_found
Wilhelm Sattler,male,1784,matched
Painter: Daniel Caffe,unknown,,not_found
Maler: Ehregott Grünler,unknown,,not_found
Maler: August Hunger,unknown,,not_found
Maler: Eduard Magnus,unknown,,not_found
Painter: S. Clases,unknown,,not_found
Anton Graff,male,1736,matched
Maler: Bruno Bachmann-Hohmann,unknown,,not_found
Painter: Eduard Heinrich,unknown,,not_found
Painter: Anton Zeller,unknown,,not_found
Maler: Carl Friedrich,unknown,,not_found
Maler: Friedrich Harnisch,unknown,,not_found
Maler: Johann Friedrich August Tischbein,unknown,,not_found
Painter: Richard Freytag,unknown,,not_found
Traugott Georgi,unknown,,not_found
Maler: Carl Christian Fiedler,unknown,,not_found
Maler: Carl Christian Vogel Vogelstein,unknown,,not_found
ZeichnerKalligraf: Friedrich Baumgarten,unknown,,not_found
Carl Christian Vogel von Vogelstein,male,1788,matched
Maler: Ernst Wilhelm Straßberger,unknown,,not_found
Print: John. Fr. Happiness,unknown,,not_found
Engraver: Julius Thaeter,unknown,,not_found
Ernst Helbig,male,1802,matched
Maler: Scheinert,unknown,,not_found
Charles Heath,male,1761,matched
W. Kalchbrenner,unknown,,not_found
Georg Heinrich Crola,male,1804,matched
Maler: Anton Graf,unknown,,not_found
Photographer: unknown,unknown,,not_found
Photographer: Fritz Reinhard,unknown,,not_found
"Cracks, Adolf, Münster-Nienberge, photographer",unknown,,not_found
Painter: Gottfried Bleiecht Kühne,unknown,,not_found
Painter: Wilhelm Bauer,unknown,,not_found
Painter: Caroline Tridon,unknown,,not_found
"Sauermann ,VK, Fotograf",unknown,,not_found
Maler: Wilhelm,unknown,,not_found
"Eckardt, Stephan",unknown,,not_found
Fotograf: Eduard Krömer,unknown,,not_found
Maler: Johann Anton Castell,unknown,,not_found
"Bibow, G., Ahaus, Fotograf",unknown,,not_found
Maler: W. Reichenbach,unknown,,not_found
Maler: Rosmäsler,unknown,,not_found
Radierer: Christian Schule,unknown,,not_found
Stecher: F. Neubauer,unknown,,not_found
Druck: Teubner´sche Offizin,unknown,,not_found
Maler: Wilhelm Gerhard,unknown,,not_found
Franz Seraph Hanfstaengl,unknown,,not_found
"Schmitz, Gerda, Münster, Fotograf",unknown,,not_found
Painter: Ernst Wilhelm Strasse,unknown,,not_found
Maler: Constantin Schröter,unknown,,not_found
Painter: Ernst Wilhelm Strassberger,unknown,,not_found
Stecher: Friedrich Wilhelm Bollinger,unknown,,not_found
Maler: Gustav Gräf,unknown,,not_found
Maler: Carl August Reinhardt,unknown,,not_found
Maler: Peter von Heß,unknown,,not_found
Painter: F. Tonnellier,unknown,,not_found
Künstler: Friedrich Baumgarten,unknown,,not_found
Manufacturer: Porcelain factory Meißen,unknown,,not_found
Maler: Friedrich Bernhard,unknown,,not_found
Druck: Joh. Friedr. Fischer,unknown,,not_found
Maler: Gottfried Wilhelm Bauer,unknown,,not_found
"Rolls, Charles",male,1877,matched
Stecher: Johann Friedrich Bause,unknown,,not_found
"Painter: Christian Gottfried Heinrich , attributed to Geißler",unknown,,not_found
Friedrich Sevin,male,1826,matched
Kunstanstalt Carl Mayer,unknown,,not_found
George Cruikshank,male,1792,matched
Painter: Georg Drescher,unknown,,not_found
Stickerin: Juliane Caroline Flamminger,unknown,,not_found
Print: Teubner 's Offizin,unknown,,not_found
Royal Porcelain Manufaktur Berlin,unknown,,not_found
Lithograph: Friedrich Oldermann,unknown,,not_found
T. Radtke,unknown,,not_found
Royal Porcelain Manufaktur Meissen,unknown,,not_found
"Bean, Richard",male,1956,matched
Maler: J. J. Schs.,unknown,,not_found
Artist: E. A.,unknown,,not_found
Painter: Susette Captain,unknown,,not_found
Painter: Carl Heyn,unknown,,not_found
ZeichnerKalligraf: Brandt,unknown,,not_found
Artist: Krötzsch,unknown,,not_found
Maler: R. Krausse,unknown,,not_found
KalligrafZeichner: F. A. Baumgarten,unknown,,not_found
ZeichnerKalligraf: Hermann Volbeding,unknown,,not_found
KalligrafZeichner: F. Baumgarten,unknown,,not_found
KalligrafZeichner: A. Brandt,unknown,,not_found
MalerZeichnerKalligraf: Ludwig Nieper,unknown,,not_found
Maler: Eugen Urban,unknown,,not_found
Maler: Hermann Ludwig Heubner,unknown,,not_found
Maler: Alexander Schlick,unknown,,not_found
Painter: Caesar Willich,unknown,,not_found
Maler: Max Seliger,unknown,,not_found
Maler: B. Heubner,unknown,,not_found
Painter: Oscar Krötzsch,unknown,,not_found
Maler: Oscar Krötzsch,unknown,,not_found
Wilhelm Souchon,male,1864,matched
Georg Schwenk,male,1863,matched
Painter: Alexander Schlick,unknown,,not_found
Maler: Vilma Parlaghy,unknown,,not_found
Jacob Becker,male,1864,matched
Maler: Robert Krausse,unknown,,not_found
Maler: Julius Röting,unknown,,not_found
Painter: Gustav Adolf Hennig,unknown,,not_found
Painter: Philippine Wolff-Arndt,unknown,,not_found
Malerin: Lucie Credé,unknown,,not_found
Maler: Käte Rammelt-Bürger,unknown,,not_found
Painter: Wilhelm Gerhard,unknown,,not_found
Painter: Curt Stoeving,unknown,,not_found
Painter: August Künicke,unknown,,not_found
Maler: Georg Schwenk,unknown,,not_found
Painter: Hans Bey,unknown,,not_found
Maler: Theo Thomas,unknown,,not_found
Maler: Ferdinand Cornelius Grünewald,unknown,,not_found
Maler: Christian Karl August Schieferdecker,unknown,,not_found
Maler: Gustav Wustmann,unknown,,not_found
Hugo Gugg,male,1878,matched
Maler: Friedrich Gonne,unknown,,not_found
Maler: Julius Roeting,unknown,,not_found
Maler: Paul Kiessling,unknown,,not_found
CalligrafDraftsman: Friedr. Tree garden,unknown,,not_found
Druck: Oskar Leiner,unknown,,not_found
Maler: Otto Hupp,unknown,,not_found
"Fotoatelier in Leipzig, Dorotheenstr. 6: A & F. Naumann",unknown,,not_found
Painting: J. B. Klein,unknown,,not_found
Publisher: Friedr. Bruckmann,unknown,,not_found
Maler: E. Hader,unknown,,not_found
Painter: E. Hader,unknown,,not_found
Otto Wigand Nachf. Kunstanstalt,unknown,,not_found
"Pokoj, Lydia",unknown,,not_found
Painting: E. Hader,unknown,,not_found
Fotograf: Sophus Berlin Williams,unknown,,not_found
Photographer: Elliott & Fry,unknown,,not_found
Photographer: Carl Giessel,unknown,,not_found
"Rous, André",unknown,,not_found
Maler: Julius Naue,unknown,,not_found
Maler: Ferdinand Bender,unknown,,not_found
Photographer: Eugen Ravenstein,unknown,,not_found
"Dreßler, Klaus",unknown,,not_found
Photographer: Faulstich,unknown,,not_found
"Hirsch, Ernst",male,1936,matched
"Volmer, Kai, Bielefeld, Fotograf",unknown,,not_found
"Nagel, Heinz",male,,matched
Künstler: Vincent van Gogh,unknown,,not_found
"Möller, Dieter",male,1936,matched
Maler: Cäsar Willich,unknown,,not_found
Franz Johann Erich Hein,unknown,,not_found
Maler: Alexander Schmidt-Michelsen,unknown,,not_found
Fotograf: H. Exner,unknown,,not_found
"Lindemann, Rudolf, Münster, Fotograf",unknown,,not_found
Martha Jeep,unknown,,not_found
Watercolour painter: Karl Grünwedel,unknown,,not_found
"Unknown, photographer",unknown,,not_found
"Painter: Friedrich, d. J. Preller",unknown,,not_found
Painter: Bruno Tröndlin,unknown,,not_found
Royal farm embroidery: Hietel J.A. Leipzig 1873 Fahne No.1501,unknown,,not_found
"Rémy, Charles",unknown,,not_found
Zeichner: Heinrich Georg Drescher,unknown,,not_found
Hugo Crola,male,1841,matched
"Lagriffoul, Eugène",unknown,,not_found
Schacke-Andersen,unknown,,not_found
"Kabell, K.",unknown,,not_found
"Richter, A.",unknown,,not_found
"Gad, E.",unknown,,not_found
"Christensen, A.",female,1950,matched
"Linck, E.",unknown,,not_found
"Tielbürger, H., Rahden, Fotograf",unknown,,not_found
"Helbig, Konrad",male,1917,matched
"Plum, Niels Munk",male,1911,matched
"Nielsen, Astrid",female,2002,matched
"Holm, K.",unknown,,not_found
Lund,female,1971,matched
"Thorup, Ingeborg",unknown,,not_found
Painter: Hermann Ludwig Heubner,unknown,,not_found
"Heine, I.",unknown,,not_found
Maler: G. Papperitz,unknown,,not_found
Painter: Emil Brehmer,unknown,,not_found
Maler: Emil Brehmer,unknown,,not_found
Draftsman: Heinrich Georg Drescher,unknown,,not_found
Großherzoglich Badische Uhrmacherschule,unknown,,not_found
Painter: August Kluge,unknown,,not_found
Albert Schöpwinkel,unknown,,not_found
"Dilger, Matthias",unknown,,not_found
"Kreuzer, Kajetan",unknown,,not_found
"Dorer, Johann",male,1832,matched
Robert Riefenstahl,male,1823,matched
"Scherzinger, Philipp",unknown,,not_found
Königliche Porzellan Manufaktur Berlin,unknown,,not_found
Karl Becker,male,1879,matched
"Dilger, Johann",unknown,,not_found
Josephine Söborg-Merz,unknown,,not_found
Maler: Emil Fröhlich,unknown,,not_found
Künstler: C. Boxberg,unknown,,not_found
Artist: Carl Blos,unknown,,not_found
Künstler: Paul Mathias Padua,unknown,,not_found
Maler: Richard Schubring,unknown,,not_found
Painter: Curt Richter,unknown,,not_found
KünstlerinKalligrafin: Margarete Simrock-Michael,unknown,,not_found
Künstler: F. Moritz,unknown,,not_found
Painter: Eugene Urban,unknown,,not_found
Artist: A. L. Erkardt,unknown,,not_found
Kalligraf: W. T.,unknown,,not_found
Artist: F. Pernat,unknown,,not_found
Artist: C. Boxberg,unknown,,not_found
ZeichnerKalligraf: Willi Münch,unknown,,not_found
Künstler: G. Wustmann,unknown,,not_found
